value_book,value_book_price,EV,game,market,name,description,point,ballybet_price,betmgm_price,betonlineag_price,betparx_price,betus_price,bovada_price,draftkings_price,espnbet_price,fanduel_price,fliff_price,hardrockbet_price,lowvig_price,mybookieag_price,windcreek_price,avg_dejuiced_prob,book_decimal_odds
bovada,-105.0,-0.10955003709869993,Tennessee St Tigers @ Southern Indiana Screaming Eagles,spreads,,Southern Indiana Screaming Eagles,-4.5,-107.0,-110.0,-114.0,-107.0,-110.0,-105.0,-112.0,-110.0,-110.0,-120.0,-110.0,-110.0,-110.0,,0.4560841273396903,1.9523809523809523
betmgm,-105.0,-0.02773553923019534,Charleston Southern Buccaneers @ North Alabama Lions,totals,,Over,146.5,-113.0,-105.0,-110.0,-113.0,,-110.0,-108.0,-110.0,-110.0,-115.0,,-108.0,,,0.4979891140528268,1.9523809523809523
lowvig,-108.0,-0.02698017675214659,Oakland Golden Grizzlies @ Cleveland St Vikings,totals,,Over,128.5,-117.0,-115.0,-110.0,-117.0,-110.0,,,-115.0,,-120.0,,-108.0,-110.0,,0.50522183130177,1.925925925925926
betonlineag,-103.0,-0.11118713204860131,Tennessee Tech Golden Eagles @ Lindenwood Lions,spreads,,Tennessee Tech Golden Eagles,2.5,-120.0,,-103.0,-120.0,-105.0,,,,-102.0,-105.0,,101.0,-110.0,,0.4509740167438131,1.970873786407767
mybookieag,-110.0,-0.11274261253060303,Grambling St Tigers @ Delaware St Hornets,spreads,,Delaware St Hornets,5.5,-117.0,-115.0,,-117.0,,,,-115.0,-115.0,,,,-110.0,,0.4647538696268271,1.9090909090909087
lowvig,-104.0,-0.02542219659999012,Tennessee Tech Golden Eagles @ Lindenwood Lions,totals,,Under,144.5,,-105.0,-106.0,,-110.0,,,-110.0,-110.0,-115.0,-110.0,-104.0,-110.0,,0.4968435860470638,1.9615384615384617
betonlineag,-260.0,-0.02935225385784035,Long Beach St 49ers @ Pepperdine Waves,h2h,,Pepperdine Waves,,-275.0,-275.0,-260.0,-275.0,-260.0,-280.0,-270.0,-290.0,-265.0,-305.0,-300.0,-260.0,-270.0,-286.0,0.701023372213782,1.3846153846153846
betus,-260.0,-0.02935225385784035,Long Beach St 49ers @ Pepperdine Waves,h2h,,Pepperdine Waves,,-275.0,-275.0,-260.0,-275.0,-260.0,-280.0,-270.0,-290.0,-265.0,-305.0,-300.0,-260.0,-270.0,-286.0,0.701023372213782,1.3846153846153846
lowvig,-260.0,-0.02935225385784035,Long Beach St 49ers @ Pepperdine Waves,h2h,,Pepperdine Waves,,-275.0,-275.0,-260.0,-275.0,-260.0,-280.0,-270.0,-290.0,-265.0,-305.0,-300.0,-260.0,-270.0,-286.0,0.701023372213782,1.3846153846153846
betmgm,-105.0,-0.03107889473479153,Lipscomb Bisons @ Middle Tennessee Blue Raiders,totals,,Under,147.5,-114.0,-105.0,,-114.0,,,,-105.0,-105.0,-115.0,,,,,0.4962766636724238,1.9523809523809523
espnbet,-105.0,-0.03107889473479153,Lipscomb Bisons @ Middle Tennessee Blue Raiders,totals,,Under,147.5,-114.0,-105.0,,-114.0,,,,-105.0,-105.0,-115.0,,,,,0.4962766636724238,1.9523809523809523
fanduel,-105.0,-0.03107889473479153,Lipscomb Bisons @ Middle Tennessee Blue Raiders,totals,,Under,147.5,-114.0,-105.0,,-114.0,,,,-105.0,-105.0,-115.0,,,,,0.4962766636724238,1.9523809523809523
espnbet,100.0,-0.11220798497036599,SIU-Edwardsville Cougars @ Arkansas-Little Rock Trojans,spreads,,Arkansas-Little Rock Trojans,-4.5,,-105.0,-105.0,,-105.0,,,100.0,,-110.0,,-101.0,,,0.443896007514817,2.0
lowvig,-106.0,-0.11117411706673286,Bellarmine Knights @ Wyoming Cowboys,spreads,,Wyoming Cowboys,-14.5,-113.0,-110.0,-110.0,-113.0,,,-110.0,-110.0,-110.0,-120.0,-110.0,-106.0,-110.0,,0.4573570077229433,1.9433962264150944
espnbet,-105.0,-0.1148704926193499,Oakland Golden Grizzlies @ Cleveland St Vikings,spreads,,Oakland Golden Grizzlies,-1.5,,-110.0,,,,,,-105.0,-106.0,-115.0,,,,,0.4533590159754549,1.9523809523809523
betmgm,-105.0,-0.1148704926193499,Lipscomb Bisons @ Middle Tennessee Blue Raiders,spreads,,Middle Tennessee Blue Raiders,-2.5,,-105.0,-110.0,,,,,,,-115.0,,-106.0,,,0.4533590159754549,1.9523809523809523
fanduel,-110.0,-0.03021199695531851,Tenn-Martin Skyhawks @ Morehead St Eagles,totals,,Under,145.5,-113.0,-115.0,-115.0,-113.0,,,,-115.0,-110.0,-125.0,,-113.0,,,0.5079841920710237,1.9090909090909087
espnbet,-105.0,-0.02816037399289817,South Dakota Coyotes @ Utah Tech Trailblazers,totals,,Over,164.5,,-110.0,-110.0,,-110.0,,-110.0,-105.0,-108.0,-115.0,,-108.0,,,0.4977715157597351,1.9523809523809523
betus,-115.0,-0.02844326926073426,Oakland Golden Grizzlies @ Cleveland St Vikings,h2h,,Oakland Golden Grizzlies,,-120.0,-120.0,-117.0,-120.0,-115.0,-115.0,-122.0,-125.0,-120.0,-125.0,-125.0,-117.0,-118.0,-125.0,0.5196698792326306,1.869565217391304
bovada,-115.0,-0.02844326926073426,Oakland Golden Grizzlies @ Cleveland St Vikings,h2h,,Oakland Golden Grizzlies,,-120.0,-120.0,-117.0,-120.0,-115.0,-115.0,-122.0,-125.0,-120.0,-125.0,-125.0,-117.0,-118.0,-125.0,0.5196698792326306,1.869565217391304
