value_book,value_book_price,EV,game,market,name,description,point,ballybet_price,betmgm_price,betonlineag_price,bovada_price,draftkings_price,espnbet_price,fanduel_price,fliff_price,hardrockbet_price,windcreek_price,avg_dejuiced_prob,book_decimal_odds
betmgm,1100.0,0.32804907419213125,Tampa Bay Buccaneers @ Los Angeles Chargers,player_tds_over,Rachaad White,Over,1.5,800.0,1100.0,450.0,,,,700.0,,650.0,,0.1106707561826776,12.0
betonlineag,140.0,-0.02618379756709588,Miami Dolphins @ Houston Texans,player_anytime_td,Nico Collins,Yes,,102.0,130.0,140.0,110.0,140.0,110.0,120.0,105.0,105.0,,0.40575675101371,2.4
draftkings,140.0,-0.02618379756709588,Miami Dolphins @ Houston Texans,player_anytime_td,Nico Collins,Yes,,102.0,130.0,140.0,110.0,140.0,110.0,120.0,105.0,105.0,,0.40575675101371,2.4
betmgm,1500.0,0.4932777077268735,Cincinnati Bengals @ Tennessee Titans,player_tds_over,Tee Higgins,Over,1.5,850.0,1500.0,850.0,500.0,,,950.0,,800.0,,0.0933298567329296,16.0
betmgm,2500.0,0.946548517052836,Miami Dolphins @ Houston Texans,player_anytime_td,Julian Hill,Yes,,1200.0,2500.0,1000.0,900.0,1000.0,1000.0,1100.0,815.0,1000.0,,0.0748672506558783,26.0
ballybet,125.0,-0.03416722552439222,Tampa Bay Buccaneers @ Los Angeles Chargers,player_anytime_td,Gus Edwards,Yes,,125.0,-125.0,-125.0,-121.0,-125.0,-110.0,130.0,135.0,140.0,,0.4292590108780479,2.25
fanduel,900.0,0.2837093136685178,Buffalo Bills @ Detroit Lions,player_anytime_td,Ty Johnson,Yes,,750.0,550.0,500.0,500.0,500.0,550.0,900.0,540.0,575.0,,0.1283709313668518,10.0
windcreek,625.0,0.17060452554145922,Green Bay Packers @ Seattle Seahawks,player_1st_td,Zach Charbonnet,Yes,,450.0,550.0,,200.0,550.0,450.0,600.0,425.0,450.0,625.0,0.1614626931781323,7.25
windcreek,1100.0,0.3646070847079712,Kansas City Chiefs @ Cleveland Browns,player_1st_td,Nick Chubb,Yes,,700.0,800.0,,330.0,900.0,800.0,800.0,570.0,600.0,1100.0,0.1137172570589976,12.0
ballybet,140.0,0.03827946544046923,Pittsburgh Steelers @ Philadelphia Eagles,player_pass_interceptions,Jalen Hurts,Over,0.5,140.0,115.0,112.0,115.0,115.0,115.0,,110.0,115.0,,0.4326164439335289,2.4
windcreek,450.0,0.09498463519982481,Dallas Cowboys @ Carolina Panthers,player_1st_td,Chuba Hubbard,Yes,,300.0,,,330.0,390.0,350.0,340.0,310.0,325.0,450.0,0.1990881154908772,5.5
ballybet,140.0,0.036575806607274775,Washington Commanders @ New Orleans Saints,player_receptions,Alvin Kamara,Over,4.5,140.0,115.0,110.0,,115.0,115.0,,110.0,115.0,,0.4319065860863645,2.4
