value_book,value_book_price,game,market,name,description,point,ballybet_price,betmgm_price,betonlineag_price,bovada_price,draftkings_price,espnbet_price,fanduel_price,fliff_price,hardrockbet_price,avg_dejuiced_prob,book_decimal_odds,EV
draftkings,100.0,Los Angeles Lakers @ Minnesota Timberwolves,player_rebounds,Donte DiVincenzo,Under,2.5,,-115.0,-110.0,,100.0,-115.0,,-125.0,-115.0,0.4926644549676872,2.0,-0.014671090064625525
ballybet,130.0,Los Angeles Lakers @ Minnesota Timberwolves,player_threes,LeBron James,Under,1.5,130.0,110.0,113.0,110.0,115.0,120.0,120.0,105.0,105.0,0.4363098892797175,2.3,0.003512745343350221
bovada,-115.0,Los Angeles Lakers @ Minnesota Timberwolves,player_points,Nickeil Alexander-Walker,Under,8.5,,-135.0,-123.0,-115.0,,-130.0,,-145.0,-135.0,0.5257491333641007,1.869565217391304,-0.017077707188855484
ballybet,-108.0,Los Angeles Lakers @ Minnesota Timberwolves,player_points,Mike Conley,Over,10.5,-108.0,-135.0,-120.0,-120.0,,-130.0,-104.0,-140.0,-130.0,0.5147298767510606,1.925925925925926,-0.008668385516475752
ballybet,-113.0,Brooklyn Nets @ Chicago Bulls,player_rebounds,Ayo Dosunmu,Under,3.5,-113.0,-135.0,-127.0,,-125.0,-130.0,-120.0,-140.0,-140.0,0.5232589969794121,1.8849557522123892,-0.01367994374677195
draftkings,1000.0,New Orleans Pelicans @ Atlanta Hawks,player_first_basket,Zaccharie Risacher,Yes,,800.0,,,750.0,1000.0,,750.0,,525.0,0.105986637079074,11.0,0.16585300786981416
ballybet,100.0,Brooklyn Nets @ Chicago Bulls,player_points,Dennis Schroder,Over,22.5,100.0,-115.0,-112.0,-115.0,,,,-120.0,-115.0,0.4930754943073572,2.0,-0.013849011385285603
ballybet,-112.0,Los Angeles Lakers @ Minnesota Timberwolves,player_points,Donte DiVincenzo,Under,9.5,-112.0,-135.0,-127.0,-135.0,-120.0,-130.0,-115.0,-140.0,-135.0,0.5227864794693596,1.8928571428571428,-0.010439878147283532
draftkings,-105.0,Brooklyn Nets @ Chicago Bulls,player_points_rebounds_assists,Nicolas Claxton,Over,26.5,,-125.0,-103.0,-125.0,-105.0,-125.0,-113.0,-135.0,-125.0,0.5076649227035198,1.9523809523809523,-0.008844674721699475
espnbet,700.0,Los Angeles Lakers @ Minnesota Timberwolves,player_first_basket,Anthony Edwards,Yes,,500.0,,,500.0,550.0,700.0,500.0,,575.0,0.1360646599777034,8.0,0.08851727982162716
draftkings,155.0,Brooklyn Nets @ Chicago Bulls,player_steals,Zach LaVine,Under,0.5,140.0,135.0,,,155.0,130.0,,130.0,135.0,0.3916240508743914,2.55,-0.0013586702703020093
ballybet,115.0,Brooklyn Nets @ Chicago Bulls,player_rebounds,Nicolas Claxton,Over,10.5,115.0,100.0,100.0,100.0,110.0,100.0,,-105.0,-105.0,0.4622093251595981,2.15,-0.006249950906864088
draftkings,-182.0,Los Angeles Lakers @ Minnesota Timberwolves,player_steals,Anthony Davis,Under,1.5,-215.0,-210.0,,,-182.0,-225.0,-194.0,-225.0,-210.0,0.6298112879019315,1.5494505494505495,-0.024138553910193816
betmgm,-105.0,New Orleans Pelicans @ Atlanta Hawks,player_assists,Jalen Johnson,Under,4.5,-134.0,-105.0,-103.0,-115.0,-115.0,,-122.0,-130.0,-130.0,0.5062700536484674,1.9523809523809523,-0.011567990495849334
draftkings,-115.0,Los Angeles Lakers @ Minnesota Timberwolves,player_blocks_steals,Jaden McDaniels,Under,1.5,,-130.0,,,-115.0,-135.0,,-140.0,-125.0,0.5200891766599129,1.869565217391304,-0.02765936537494551
draftkings,100.0,Los Angeles Lakers @ Minnesota Timberwolves,player_threes,Naz Reid,Under,1.5,,-115.0,-110.0,-110.0,100.0,-115.0,,-120.0,-120.0,0.4923536708859674,2.0,-0.015292658228065248
fanduel,1100.0,Miami Heat @ Boston Celtics,player_first_basket,Duncan Robinson,Yes,,1000.0,,,1000.0,850.0,600.0,1100.0,,525.0,0.0993305303537405,12.0,0.1919663642448859
ballybet,100.0,Brooklyn Nets @ Chicago Bulls,player_points_rebounds_assists,Josh Giddey,Under,24.5,100.0,-115.0,-114.0,-115.0,-110.0,-115.0,,-120.0,-115.0,0.4935176192655779,2.0,-0.012964761468844177
ballybet,108.0,Brooklyn Nets @ Chicago Bulls,player_rebounds,Cameron Johnson,Over,5.5,108.0,-110.0,-103.0,-110.0,-105.0,-105.0,108.0,-115.0,-110.0,0.4763195806626417,2.08,-0.009255272221705302
fanduel,108.0,Brooklyn Nets @ Chicago Bulls,player_rebounds,Cameron Johnson,Over,5.5,108.0,-110.0,-103.0,-110.0,-105.0,-105.0,108.0,-115.0,-110.0,0.4763195806626417,2.08,-0.009255272221705302
fanduel,-106.0,Los Angeles Lakers @ Minnesota Timberwolves,player_rebounds_assists,Anthony Davis,Under,15.5,,-125.0,,-115.0,-115.0,-125.0,-106.0,-130.0,-120.0,0.5064370468285283,1.9433962264150944,-0.01579215427663372
ballybet,108.0,Brooklyn Nets @ Chicago Bulls,player_double_double,Nicolas Claxton,Yes,,108.0,-115.0,,110.0,100.0,-110.0,105.0,-115.0,-120.0,0.4551144301439181,2.08,-0.05336198530065028
ballybet,125.0,Brooklyn Nets @ Chicago Bulls,player_assists,Josh Giddey,Under,5.5,125.0,110.0,114.0,115.0,105.0,110.0,,105.0,105.0,0.4429102409311604,2.25,-0.003451957904889169
draftkings,1400.0,Miami Heat @ Boston Celtics,player_double_double,Jimmy Butler,Yes,,,1000.0,,,1400.0,650.0,,965.0,1100.0,0.0843538329604092,15.0,0.265307494406138
ballybet,112.0,Los Angeles Lakers @ Minnesota Timberwolves,player_assists,LeBron James,Under,9.5,112.0,105.0,-102.0,100.0,-115.0,105.0,-106.0,-105.0,100.0,0.4673154240517052,2.12,-0.009291301010385
ballybet,-103.0,Brooklyn Nets @ Chicago Bulls,player_threes,Nikola Vucevic,Over,1.5,-103.0,-120.0,-114.0,-120.0,-125.0,-120.0,100.0,-125.0,-120.0,0.5004739973358476,1.970873786407767,-0.013628917872067325
fanduel,102.0,Los Angeles Lakers @ Minnesota Timberwolves,player_blocks,Rudy Gobert,Over,1.5,-117.0,-110.0,,,-105.0,-115.0,102.0,-115.0,-110.0,0.4865872644726864,2.02,-0.017093725765173318
draftkings,-115.0,Los Angeles Lakers @ Minnesota Timberwolves,player_points,Rudy Gobert,Under,10.5,-122.0,-135.0,-128.0,-130.0,-115.0,-130.0,-128.0,-145.0,-135.0,0.5263775880773667,1.869565217391304,-0.01590277011622776
fanduel,-108.0,New Orleans Pelicans @ Atlanta Hawks,player_points_rebounds_assists,Trae Young,Under,36.5,-125.0,-125.0,-119.0,-125.0,-115.0,,-108.0,-130.0,-125.0,0.5123673534347806,1.925925925925926,-0.01321843042190407
draftkings,800.0,New Orleans Pelicans @ Atlanta Hawks,player_first_basket,Clint Capela,Yes,,700.0,,,700.0,800.0,,700.0,,400.0,0.1220410628019323,9.0,0.09836956521739093
bovada,105.0,New Orleans Pelicans @ Atlanta Hawks,player_points_rebounds,Clint Capela,Over,19.5,,-110.0,,105.0,,,-104.0,-110.0,-110.0,0.4784052093416766,2.05,-0.01926932084956301
betmgm,-110.0,Los Angeles Lakers @ Minnesota Timberwolves,player_points_rebounds_assists,Nickeil Alexander-Walker,Over,13.5,,-110.0,-130.0,-150.0,,-120.0,,-120.0,-110.0,0.5134107380060705,1.9090909090909087,-0.01985222744295645
hardrockbet,-110.0,Los Angeles Lakers @ Minnesota Timberwolves,player_points_rebounds_assists,Nickeil Alexander-Walker,Over,13.5,,-110.0,-130.0,-150.0,,-120.0,,-120.0,-110.0,0.5134107380060705,1.9090909090909087,-0.01985222744295645
