value_book,value_book_price,EV,game,market,name,description,point,ballybet_price,betmgm_price,betonlineag_price,bovada_price,draftkings_price,espnbet_price,fanduel_price,hardrockbet_price,avg_dejuiced_prob,book_decimal_odds
betmgm,950.0,0.31512430543621406,Atlanta Hawks @ Chicago Bulls,player_rebounds_alternate,Clint Capela,Over,14.5,,950.0,593.0,,475.0,500.0,,,0.125249933851068,10.5
fanduel,370.0,0.15586474041394505,Golden State Warriors @ Minnesota Timberwolves,player_rebounds_alternate,Naz Reid,Over,7.5,,,228.0,290.0,270.0,250.0,370.0,275.0,0.2459286681731798,4.7
draftkings,-320.0,-0.06099235642873746,Memphis Grizzlies @ San Antonio Spurs,player_rebounds_alternate,Santi Aldama,Over,3.5,,,,-500.0,-320.0,-425.0,-410.0,-450.0,0.7154343951019143,1.3125
fanduel,550.0,0.21064586349595849,Houston Rockets @ Denver Nuggets,player_rebounds_alternate,Fred VanVleet,Over,5.5,,,253.0,475.0,475.0,,550.0,350.0,0.186253209768609,6.5
fanduel,-140.0,0.016121581532476004,Atlanta Hawks @ Chicago Bulls,player_points_alternate,Zaccharie Risacher,Over,9.5,,-200.0,,-165.0,-165.0,-170.0,-140.0,-170.0,0.5927375892272776,1.7142857142857144
fanduel,-290.0,-0.05316034800403535,Memphis Grizzlies @ San Antonio Spurs,player_rebounds_alternate,Jaren Jackson Jr,Over,5.5,,,,-400.0,-310.0,,-290.0,-425.0,0.7040602540482814,1.3448275862068966
betonlineag,-125.0,0.017979621065248086,Atlanta Hawks @ Chicago Bulls,player_rebounds_alternate,Onyeka Okongwu,Over,7.5,,,-125.0,,-155.0,-150.0,,-160.0,0.5655442339251378,1.8
espnbet,900.0,0.30934813287331897,Memphis Grizzlies @ San Antonio Spurs,player_assists_alternate,Tre Jones,Over,7.5,,,354.0,,600.0,900.0,,,0.1309348132873319,10.0
betonlineag,110.0,0.03933379165079898,Dallas Mavericks @ New Orleans Pelicans,player_rebounds_alternate,Daniel Gafford,Over,7.5,,,110.0,-115.0,-105.0,-120.0,100.0,-125.0,0.4949208531670471,2.1
draftkings,300.0,0.126868701619532,Memphis Grizzlies @ San Antonio Spurs,player_rebounds_alternate,Santi Aldama,Over,7.5,,,175.0,250.0,300.0,220.0,250.0,225.0,0.281717175404883,4.0
fanduel,120.0,0.04367347781832143,Atlanta Hawks @ Chicago Bulls,player_rebounds_alternate,Zaccharie Risacher,Over,3.5,,,104.0,100.0,100.0,105.0,120.0,-120.0,0.4743970353719642,2.2
draftkings,105.0,0.03299815048508026,Memphis Grizzlies @ San Antonio Spurs,player_rebounds_alternate,Santi Aldama,Over,5.5,,,-116.0,-115.0,105.0,,-115.0,-125.0,0.5039015368219905,2.05
fanduel,330.0,0.11294063079777339,Atlanta Hawks @ Chicago Bulls,player_assists_alternate,Vit Krejci,Over,5.5,,,292.0,,200.0,,330.0,,0.2588234025111101,4.3
fanduel,330.0,0.1291223936279271,Dallas Mavericks @ New Orleans Pelicans,player_assists_alternate,C.J. McCollum,Over,5.5,,,216.0,300.0,250.0,,330.0,240.0,0.2625866031692854,4.3
fanduel,470.0,0.16825683889444232,Boston Celtics @ Toronto Raptors,player_assists_alternate,Payton Pritchard,Over,5.5,,,273.0,,350.0,,470.0,350.0,0.2049573401569197,5.7
fanduel,260.0,0.11358464583630856,Atlanta Hawks @ Chicago Bulls,player_points_alternate,Trae Young,Over,34.5,,275.0,204.0,220.0,195.0,165.0,260.0,170.0,0.3093290682878635,3.6
betmgm,-140.0,0.006550365179496254,Charlotte Hornets @ Utah Jazz,player_points_alternate,Isaiah Collier,Over,9.5,,-140.0,,,-185.0,-150.0,,,0.5871543796880394,1.7142857142857144
betmgm,310.0,0.0935254924709863,Atlanta Hawks @ Chicago Bulls,player_rebounds_alternate,Zach LaVine,Over,6.5,,310.0,189.0,,245.0,,,250.0,0.2667135347490211,4.1
espnbet,-225.0,-0.023310758539481613,Brooklyn Nets @ Los Angeles Clippers,player_assists_alternate,Ivica Zubac,Over,1.5,,,-312.0,,,-225.0,-260.0,,0.676169474857282,1.4444444444444444
espnbet,800.0,0.2618512187706241,Brooklyn Nets @ Los Angeles Clippers,player_assists_alternate,Kawhi Leonard,Over,3.5,,,,,310.0,800.0,,700.0,0.1402056909745138,9.0
fanduel,-175.0,0.0028867873831530666,Orlando Magic @ Milwaukee Bucks,player_assists_alternate,Damian Lillard,Over,5.5,,,-213.0,-200.0,-230.0,,-175.0,-230.0,0.6382006828801883,1.5714285714285714
fanduel,110.0,0.032897889640803424,Golden State Warriors @ Minnesota Timberwolves,player_rebounds_alternate,Naz Reid,Over,5.5,,,104.0,-125.0,-115.0,,110.0,-110.0,0.4918561379241921,2.1
betonlineag,152.0,0.04962908713563763,Charlotte Hornets @ Utah Jazz,player_threes,Keyonte George,Over,4.5,,,152.0,120.0,,120.0,,115.0,0.4165194790220784,2.52
fanduel,210.0,0.08416204389492221,Brooklyn Nets @ Los Angeles Clippers,player_points_alternate,James Harden,Over,24.5,,140.0,158.0,,170.0,165.0,210.0,180.0,0.3497296915790072,3.1
fanduel,-105.0,0.026651004451388127,Houston Rockets @ Denver Nuggets,player_points_alternate,Russell Westbrook,Over,14.5,,,-120.0,-125.0,-135.0,-130.0,-105.0,-135.0,0.5258456364263208,1.9523809523809523
draftkings,220.0,0.06836226409115753,Houston Rockets @ Denver Nuggets,player_rebounds_alternate,Fred VanVleet,Over,4.5,,,157.0,,220.0,175.0,,170.0,0.3338632075284867,3.2
draftkings,100.0,0.02231111972226496,Memphis Grizzlies @ San Antonio Spurs,player_points_alternate,Stephon Castle,Over,14.5,,-110.0,,,100.0,-125.0,,-120.0,0.5111555598611325,2.0
fanduel,132.0,0.0512470826964021,Orlando Magic @ Milwaukee Bucks,player_assists,Giannis Antetokounmpo,Over,5.5,108.0,,103.0,105.0,100.0,105.0,132.0,100.0,0.4531237425415525,2.3200000000000003
draftkings,210.0,0.08139139933262718,Boston Celtics @ Toronto Raptors,player_rebounds_alternate,Scottie Barnes,Over,9.5,,175.0,147.0,150.0,210.0,180.0,155.0,,0.3488359352685894,3.1
fanduel,155.0,0.05071663747268129,Golden State Warriors @ Minnesota Timberwolves,player_double_double,Rudy Gobert,Yes,,,,,130.0,130.0,120.0,155.0,120.0,0.4120457401853652,2.55
fanduel,-380.0,-0.07546301482228246,Houston Rockets @ Denver Nuggets,player_rebounds_alternate,Alperen Sengun,Over,7.5,,,,-400.0,-550.0,-550.0,-380.0,-575.0,0.7319251132656931,1.263157894736842
fanduel,-110.0,0.02224486214611332,Dallas Mavericks @ New Orleans Pelicans,player_assists_alternate,Dejounte Murray,Over,7.5,,,-120.0,-130.0,-140.0,-140.0,-110.0,-145.0,0.5354615944574881,1.9090909090909087
betmgm,200.0,0.07752152503639076,Memphis Grizzlies @ San Antonio Spurs,player_points_alternate,Zach Edey,Over,9.5,,200.0,136.0,150.0,145.0,165.0,175.0,180.0,0.3591738416787969,3.0
fanduel,220.0,0.08727898751265828,New York Knicks @ Philadelphia 76ers,player_points_alternate,Jalen Brunson,Over,29.5,,200.0,142.0,150.0,170.0,180.0,220.0,185.0,0.3397746835977057,3.2
betonlineag,126.0,0.030950097359626172,Golden State Warriors @ Minnesota Timberwolves,player_rebounds_alternate,Donte DiVincenzo,Over,4.5,,110.0,126.0,,-120.0,105.0,,100.0,0.4561726094511621,2.26
bovada,525.0,0.17836667738450873,Atlanta Hawks @ Chicago Bulls,player_rebounds_alternate,Zaccharie Risacher,Over,5.5,,,336.0,525.0,390.0,,500.0,325.0,0.1885386683815214,6.25
fanduel,-145.0,0.006954333933457679,Houston Rockets @ Denver Nuggets,player_points_alternate,Amen Thompson,Over,14.5,,,-185.0,-165.0,-165.0,-190.0,-145.0,-185.0,0.595952564981026,1.6896551724137931
fanduel,290.0,0.11067345466812895,Atlanta Hawks @ Chicago Bulls,player_points_alternate,Zaccharie Risacher,Over,14.5,,240.0,210.0,260.0,205.0,210.0,290.0,230.0,0.2847880652995203,3.9
betmgm,140.0,0.029900332225913262,Golden State Warriors @ Minnesota Timberwolves,player_rebounds_alternate,Mike Conley,Over,2.5,,140.0,,,110.0,110.0,,110.0,0.4291251384274639,2.4
fanduel,-140.0,0.01157588899811235,Orlando Magic @ Milwaukee Bucks,player_assists_alternate,Paolo Banchero,Over,3.5,,,-169.0,-200.0,-170.0,-170.0,-140.0,-160.0,0.5900859352488989,1.7142857142857144
fanduel,170.0,0.054545119729436875,Brooklyn Nets @ Los Angeles Clippers,player_rebounds_alternate,Kris Dunn,Over,3.5,,,134.0,,160.0,130.0,170.0,130.0,0.3905722665664581,2.7
fanduel,-140.0,0.00882881927199608,Brooklyn Nets @ Los Angeles Clippers,player_points_alternate,James Harden,Over,19.5,,-225.0,,,-165.0,-160.0,-140.0,-160.0,0.5884834779086644,1.7142857142857144
fanduel,380.0,0.12992959534419923,Memphis Grizzlies @ San Antonio Spurs,player_assists_alternate,Desmond Bane,Over,7.5,,,243.0,300.0,330.0,260.0,380.0,275.0,0.2354019990300415,4.8
