value_book,value_book_price,EV,game,market,name,description,point,ballybet_price,betmgm_price,betonlineag_price,bovada_price,draftkings_price,espnbet_price,fanduel_price,fliff_price,hardrockbet_price,avg_dejuiced_prob,book_decimal_odds
ballybet,420.0,0.12560386473429963,Phoenix Suns @ Brooklyn Nets,player_double_double,Nicolas Claxton,Yes,,420.0,,,350.0,245.0,,290.0,,,0.216462281679673,5.2
fanduel,115.0,0.041882765193623994,Charlotte Hornets @ Memphis Grizzlies,player_points_alternate,Desmond Bane,Over,19.5,,-110.0,103.0,-105.0,-105.0,-115.0,115.0,,-115.0,0.4845966349737786,2.15
draftkings,140.0,0.04645192539367082,Detroit Pistons @ Atlanta Hawks,player_rebounds_alternate,Dyson Daniels,Over,5.5,,,115.0,115.0,140.0,,120.0,100.0,110.0,0.4360216355806962,2.4
draftkings,114.0,0.01127132291015609,Minnesota Timberwolves @ Dallas Mavericks,player_turnovers,Anthony Edwards,Over,3.5,,-110.0,,,114.0,-110.0,,-120.0,,0.472556692948671,2.14
espnbet,-250.0,-0.04471366258416287,Minnesota Timberwolves @ Dallas Mavericks,player_points_rebounds_assists_alternate,Nickeil Alexander-Walker,Over,9.5,,,-345.0,,-425.0,-250.0,,-265.0,,0.6823473838684552,1.4
draftkings,-140.0,0.011021131082288305,Detroit Pistons @ Atlanta Hawks,player_rebounds_alternate,Dyson Daniels,Over,4.5,,-200.0,-189.0,,-140.0,-170.0,,,-175.0,0.5897623264646682,1.7142857142857144
betonlineag,-125.0,0.01845699520118127,Milwaukee Bucks @ New Orleans Pelicans,player_rebounds_alternate,Bobby Portis,Over,7.5,,,-125.0,,-140.0,-170.0,-125.0,,-180.0,0.5658094417784341,1.8
fanduel,-125.0,0.01845699520118127,Milwaukee Bucks @ New Orleans Pelicans,player_rebounds_alternate,Bobby Portis,Over,7.5,,,-125.0,,-140.0,-170.0,-125.0,,-180.0,0.5658094417784341,1.8
betmgm,500.0,0.15756641745526934,Milwaukee Bucks @ New Orleans Pelicans,player_points_alternate,Zion Williamson,Over,29.5,,500.0,,350.0,280.0,,390.0,,,0.1929277362425449,6.0
fanduel,-290.0,-0.05513379092829762,Charlotte Hornets @ Memphis Grizzlies,player_assists_alternate,Jaren Jackson Jr,Over,1.5,,,-400.0,,,-325.0,-290.0,,,0.7025928221302402,1.3448275862068966
fanduel,-195.0,-0.01201113662629305,Golden State Warriors @ Sacramento Kings,player_assists_alternate,Domantas Sabonis,Over,5.5,,,-263.0,-200.0,-270.0,,-195.0,,-260.0,0.6530773842639758,1.5128205128205128
bovada,125.0,0.04534132800545909,Detroit Pistons @ Atlanta Hawks,player_points_rebounds_assists,Tobias Harris,Under,22.5,-107.0,-105.0,113.0,125.0,-105.0,,,-115.0,-105.0,0.4645961457802041,2.25
betmgm,333.0,0.099908814016201,Minnesota Timberwolves @ Dallas Mavericks,player_assists_alternate,Naz Reid,Over,2.5,,333.0,,,225.0,240.0,,,260.0,0.2540205113201388,4.33
fanduel,195.0,0.0754023965865318,Golden State Warriors @ Sacramento Kings,player_points_alternate,Stephen Curry,Over,29.5,,,172.0,150.0,175.0,140.0,195.0,140.0,150.0,0.3645431852835701,2.95
fanduel,-165.0,0.004297116438518156,Boston Celtics @ Los Angeles Clippers,player_points_alternate,James Harden,Over,19.5,,-175.0,-208.0,,-175.0,-225.0,-165.0,-245.0,-225.0,0.6253170724994548,1.606060606060606
hardrockbet,190.0,0.07496462300375262,Minnesota Timberwolves @ Dallas Mavericks,player_points_alternate,Nickeil Alexander-Walker,Over,9.5,,170.0,124.0,150.0,-115.0,180.0,170.0,175.0,190.0,0.3706774562081906,2.9
fanduel,125.0,0.03727920680102892,Minnesota Timberwolves @ Dallas Mavericks,player_points_alternate,Spencer Dinwiddie,Over,14.5,,110.0,,105.0,-110.0,100.0,125.0,,,0.4610129808004573,2.25
bovada,125.0,0.028084183471564383,Minnesota Timberwolves @ Dallas Mavericks,player_points_rebounds_assists,Daniel Gafford,Over,24.5,,110.0,,125.0,,,,-115.0,-105.0,0.4569263037651397,2.25
fanduel,-130.0,0.01423817322022658,Boston Celtics @ Los Angeles Clippers,player_rebounds_alternate,Norman Powell,Over,3.5,,,-152.0,,-150.0,-160.0,-130.0,,-175.0,0.5732650544288237,1.7692307692307692
fanduel,100.0,0.02102515376846692,Utah Jazz @ Oklahoma City Thunder,player_assists_alternate,Jaylin Williams,Over,3.5,,,-109.0,,-125.0,-125.0,100.0,-130.0,,0.5105125768842335,2.0
fanduel,390.0,0.1268690973236426,Utah Jazz @ Oklahoma City Thunder,player_rebounds_alternate,Cason Wallace,Over,5.5,,,252.0,,290.0,,390.0,,300.0,0.2299732851680903,4.9
draftkings,260.0,0.07814278744511305,Detroit Pistons @ Atlanta Hawks,player_rebounds_alternate,Dyson Daniels,Over,6.5,,200.0,186.0,,260.0,,,,200.0,0.2994841076236425,3.6
fanduel,115.0,0.029258293761966092,Boston Celtics @ Los Angeles Clippers,player_rebounds_alternate,Kristaps Porzingis,Over,7.5,,,110.0,,100.0,-110.0,115.0,-120.0,-115.0,0.4787247877962633,2.15
bovada,110.0,0.0177107030410113,Boston Celtics @ Los Angeles Clippers,player_points,James Harden,Over,22.5,,-105.0,,110.0,,,,-135.0,-110.0,0.4846241443052435,2.1
betmgm,500.0,0.17902646054288374,Milwaukee Bucks @ New Orleans Pelicans,player_points_alternate,C.J. McCollum,Over,29.5,,500.0,253.0,400.0,340.0,350.0,400.0,,375.0,0.1965044100904806,6.0
draftkings,500.0,0.17878084509700454,Detroit Pistons @ Atlanta Hawks,player_rebounds_alternate,Dyson Daniels,Over,7.5,,,318.0,400.0,500.0,325.0,430.0,320.0,325.0,0.1964634741828341,6.0
ballybet,210.0,0.07972875022213888,Charlotte Hornets @ Memphis Grizzlies,player_double_double,LaMelo Ball,Yes,,210.0,170.0,,165.0,145.0,165.0,165.0,160.0,160.0,0.3482995968458512,3.1
fanduel,165.0,0.05653852678912896,Detroit Pistons @ Atlanta Hawks,player_points_alternate,Cade Cunningham,Over,29.5,,115.0,,150.0,150.0,125.0,165.0,,130.0,0.398693783694011,2.65
draftkings,140.0,0.021365836903604163,Cleveland Cavaliers @ Houston Rockets,player_turnovers,Donovan Mitchell,Over,2.5,,115.0,,,140.0,110.0,,105.0,,0.425569098709835,2.4
draftkings,340.0,0.09530567459942385,Golden State Warriors @ Sacramento Kings,player_rebounds_alternate,Kevon Looney,Over,9.5,,,286.0,,340.0,240.0,,,,0.2489331078635054,4.4
