event_id,sport_title,home_team,away_team,commence_time,market,outcome,BetMGM,BetOnline.ag,BetRivers,BetUS,Bovada,Caesars,DraftKings,FanDuel,LowVig.ag,MyBookie.ag
4f0bbc699601b7e229affc95e3305210,NBA,Brooklyn Nets,Charlotte Hornets,2024-11-20T00:40:00Z,h2h,Charlotte Hornets,125.0,128.0,123.0,129.0,130.0,118.0,No Data,132.0,128.0,122.0
4f0bbc699601b7e229affc95e3305210,NBA,Brooklyn Nets,Charlotte Hornets,2024-11-20T00:40:00Z,spreads,Brooklyn Nets,-115.0,-108.0,-107.0,-110.0,-110.0,-110.0,-110.0,-110.0,-104.0,-110.0
4f0bbc699601b7e229affc95e3305210,NBA,Brooklyn Nets,Charlotte Hornets,2024-11-20T00:40:00Z,spreads,Charlotte Hornets,-105.0,-112.0,-114.0,-110.0,-110.0,-110.0,-110.0,-110.0,-108.0,-110.0
4f0bbc699601b7e229affc95e3305210,NBA,Brooklyn Nets,Charlotte Hornets,2024-11-20T00:40:00Z,totals,Over,-105.0,-105.0,-110.0,-110.0,-110.0,-110.0,-108.0,-110.0,-102.0,-110.0
4f0bbc699601b7e229affc95e3305210,NBA,Brooklyn Nets,Charlotte Hornets,2024-11-20T00:40:00Z,totals,Under,-115.0,-115.0,-110.0,-110.0,-110.0,-110.0,-112.0,-110.0,-113.0,-110.0
5dc4f9a9d1a0eeacee652cd7556b57e7,NBA,Dallas Mavericks,New Orleans Pelicans,2024-11-20T01:40:00Z,h2h,Dallas Mavericks,-800.0,-800.0,-770.0,-880.0,-800.0,-800.0,-850.0,-750.0,-800.0,-769.0
5dc4f9a9d1a0eeacee652cd7556b57e7,NBA,Dallas Mavericks,New Orleans Pelicans,2024-11-20T01:40:00Z,h2h,New Orleans Pelicans,550.0,580.0,550.0,590.0,525.0,550.0,575.0,530.0,580.0,493.0
5dc4f9a9d1a0eeacee652cd7556b57e7,NBA,Dallas Mavericks,New Orleans Pelicans,2024-11-20T01:40:00Z,spreads,Dallas Mavericks,-110.0,-110.0,-109.0,-110.0,-105.0,-110.0,-110.0,-110.0,-106.0,-110.0
5dc4f9a9d1a0eeacee652cd7556b57e7,NBA,Dallas Mavericks,New Orleans Pelicans,2024-11-20T01:40:00Z,spreads,New Orleans Pelicans,-110.0,-110.0,-112.0,-110.0,-115.0,-110.0,-110.0,-110.0,-106.0,-110.0
5dc4f9a9d1a0eeacee652cd7556b57e7,NBA,Dallas Mavericks,New Orleans Pelicans,2024-11-20T01:40:00Z,totals,Over,-105.0,-110.0,-109.0,-110.0,-110.0,-110.0,-110.0,-110.0,-107.0,-110.0
5dc4f9a9d1a0eeacee652cd7556b57e7,NBA,Dallas Mavericks,New Orleans Pelicans,2024-11-20T01:40:00Z,totals,Under,-115.0,-110.0,-112.0,-110.0,-110.0,-110.0,-110.0,-110.0,-107.0,-110.0
6f66bc2154fb45b2047e1c1c5afcdc38,NBA,Boston Celtics,Philadelphia 76ers,2024-12-25T22:00:00Z,h2h,Boston Celtics,No Data,No Data,No Data,No Data,No Data,-260.0,-250.0,No Data,No Data,No Data
6f66bc2154fb45b2047e1c1c5afcdc38,NBA,Boston Celtics,Philadelphia 76ers,2024-12-25T22:00:00Z,h2h,Philadelphia 76ers,No Data,No Data,No Data,No Data,No Data,210.0,205.0,No Data,No Data,No Data
6f66bc2154fb45b2047e1c1c5afcdc38,NBA,Boston Celtics,Philadelphia 76ers,2024-12-25T22:00:00Z,spreads,Boston Celtics,No Data,No Data,No Data,No Data,No Data,-115.0,-110.0,No Data,No Data,No Data
6f66bc2154fb45b2047e1c1c5afcdc38,NBA,Boston Celtics,Philadelphia 76ers,2024-12-25T22:00:00Z,spreads,Philadelphia 76ers,No Data,No Data,No Data,No Data,No Data,-105.0,-110.0,No Data,No Data,No Data
6f66bc2154fb45b2047e1c1c5afcdc38,NBA,Boston Celtics,Philadelphia 76ers,2024-12-25T22:00:00Z,totals,Over,No Data,No Data,No Data,No Data,No Data,-110.0,-110.0,No Data,No Data,No Data
6f66bc2154fb45b2047e1c1c5afcdc38,NBA,Boston Celtics,Philadelphia 76ers,2024-12-25T22:00:00Z,totals,Under,No Data,No Data,No Data,No Data,No Data,-110.0,-110.0,No Data,No Data,No Data
